Designator,Mid X,Mid Y,Layer,Rotation
C1, 2.90,27.70,Top,90.0
C2, 6.00,12.60,Top,180.0
C3,21.90,27.40,Top,270.0
C4, 9.10,14.20,Top,90.0
C5,36.10,27.10,Top,270.0
C6,36.90,13.00,Top,180.0
C7,13.30,14.20,Top,90.0
C8,17.90,31.40,Top,180.0
C9, 7.60,46.40,Top,0.0
C10, 7.60,44.20,Top,0.0
C12, 5.00,17.30,Top,90.0
C13,11.20,14.20,Top,270.0
C14, 2.90,24.60,Top,270.0
C17, 2.90,17.30,Top,270.0
D8,73.90,35.50,Top,180.0
IC2,74.40,25.70,Top,270.0
IC4, 9.90,23.40,Top,0.0
J1,25.60,16.10,Top,180.0
L1,61.90,28.60,Top,270.0
L2, 6.00,14.70,Top,180.0
QWIIC1,25.50, 5.90,Top,180.0
R1, 7.60,48.60,Top,180.0
R5, 7.60,50.80,Top,0.0
R6,19.60,14.20,Top,270.0
R7,17.50,14.20,Top,270.0
R9, 7.60,37.60,Top,0.0
R10,14.30,30.70,Top,90.0
R11, 2.90,21.50,Top,90.0
R14,15.40,14.20,Top,270.0
R15,17.90,23.40,Top,180.0
R16, 7.60,39.80,Top,0.0
R17, 7.60,42.00,Top,0.0
RN5,11.40,31.10,Top,0.0
RN6, 7.70,31.10,Top,0.0
Y1,17.90,27.40,Top,90.0
